partnerCode,year,hs_code,value,ctry_total_value,ctry_hs_share,cmdCode_clean,hs_desc,cluster_name
0,2018,1901,71535658.607,1944328664.4029999,0.03679195802473282,1901,Malt extract and food preparations of flour/starch/milk,Postal-friendly core goods
0,2018,1902,178294016.579,1944328664.4029999,0.0916995258277204,1902,"Pasta, whether or not cooked or stuffed",Postal-friendly core goods
0,2018,1904,15674339.47,1944328664.4029999,0.00806156888851544,1904,Prepared foods obtained by swelling or roasting cereals,Postal-friendly core goods
0,2018,1905,50672588.653,1944328664.4029999,0.026061740270932467,1905,"Bread, pastry, cakes, biscuits and other bakers' wares",Postal-friendly core goods
0,2018,2101,29544849.485,1944328664.4029999,0.015195398816008123,2101,"Coffee, tea or mate extracts and concentrates",High-value expansion goods
0,2018,2103,88023210.42,1944328664.4029999,0.04527177530812532,2103,"Sauces, mixed condiments and seasonings",Postal-friendly core goods
0,2018,2104,5109355.32,1944328664.4029999,0.0026278249215488537,2104,"Soups, broths and preparations therefor",High-value expansion goods
0,2018,2106,219897157.11,1944328664.4029999,0.1130967007460741,2106,Food preparations not elsewhere specified,High-value expansion goods
0,2018,3004,15096271.889,1944328664.4029999,0.007764259286706173,3004,Medicaments in measured doses or retail sale,High-value expansion goods
0,2018,3005,5112759.729,1944328664.4029999,0.002629575864721337,3005,"Wadding, gauze, bandages and similar medical articles",Postal-friendly core goods
0,2018,3006,1127397.6,1944328664.4029999,0.000579839005946129,3006,Pharmaceutical goods,Postal-friendly core goods
0,2018,3303,344772.699,1944328664.4029999,0.0001773222322502052,3303,Perfumes and toilet waters,Apparel growth / volatile
0,2018,3304,195903641.405,1944328664.4029999,0.10075644359496784,3304,"Beauty, make-up and skin-care preparations",Postal-friendly core goods
0,2018,3306,13497383.092,1944328664.4029999,0.006941924654566737,3306,Oral or dental hygiene preparations,High-value expansion goods
0,2018,3307,82709644.228,1944328664.4029999,0.04253892139855673,3307,"Shaving, deodorant, bath and perfumery preparations",Postal-friendly core goods
0,2018,3923,258952099.85,1944328664.4029999,0.133183295906153,3923,Plastic packing and conveyance articles,Postal-friendly core goods
