partnerCode,prev_year,year,year_pair,ctry_hs_js_similarity,ctry_hs_js_distance,ctry_common_hs_count,ctry_new_hs_count,ctry_lost_hs_count,ctry_filtered_hs_count
0,2018,2019,2018-2019,0.8160095255165897,0.18399047448341033,50,2,3,55
0,2019,2020,2019-2020,0.7371484909054833,0.2628515090945167,49,4,3,56
0,2020,2021,2020-2021,0.7629112913137568,0.2370887086862432,50,3,2,55
0,2021,2022,2021-2022,0.9400696002753348,0.059930399724665184,52,1,3,56
0,2022,2023,2022-2023,0.9048508970240019,0.0951491029759981,55,3,0,58
0,2023,2024,2023-2024,0.9103466963593593,0.08965330364064072,51,1,3,55
4,2018,2019,2018-2019,0.4924279011775654,0.5075720988224346,9,2,2,13
4,2019,2020,2019-2020,0.8018173784369023,0.19818262156309774,10,1,0,11
4,2020,2021,2020-2021,0.7930192679918299,0.20698073200817013,8,1,4,13
4,2021,2022,2021-2022,0.577870738773546,0.422129261226454,6,2,2,10
4,2022,2023,2022-2023,0.7476166988838295,0.25238330111617047,6,4,1,11
4,2023,2024,2023-2024,0.837517208747065,0.16248279125293497,5,1,5,11
8,2018,2019,2018-2019,0.5926302369681533,0.4073697630318467,16,3,4,23
8,2019,2020,2019-2020,0.43933925089828707,0.5606607491017129,15,2,4,21
8,2020,2021,2020-2021,0.7306616917498737,0.2693383082501263,18,1,1,20
8,2021,2022,2021-2022,0.8931686114040636,0.10683138859593644,19,1,1,21
8,2022,2023,2022-2023,0.8495053413907537,0.15049465860924627,20,2,1,23
8,2023,2024,2023-2024,0.8848538750202845,0.11514612497971555,21,0,1,22
10,2020,2022,2020-2022,0.01121668216913041,0.9887833178308696,2,9,5,16
10,2022,2023,2022-2023,0.2339717160813929,0.7660282839186071,8,8,3,19
10,2023,2024,2023-2024,0.8447383539432622,0.15526164605673776,15,3,1,19
12,2018,2019,2018-2019,0.8579617822649697,0.14203821773503034,24,2,2,28
12,2019,2020,2019-2020,0.7697960445394525,0.2302039554605475,26,3,0,29
12,2020,2021,2020-2021,0.6867142778377888,0.3132857221622112,26,0,3,29
12,2021,2022,2021-2022,0.6795041385209412,0.32049586147905884,25,3,1,29
12,2022,2023,2022-2023,0.7774057951259098,0.2225942048740902,27,1,2,30
12,2023,2024,2023-2024,0.7052282166850601,0.2947717833149399,23,3,5,31
16,2018,2019,2018-2019,0.8274834543455314,0.1725165456544686,5,1,2,8
16,2019,2020,2019-2020,0.8064703303945087,0.19352966960549134,6,2,0,8
16,2020,2021,2020-2021,0.8888721032292843,0.11112789677071566,8,2,0,10
16,2021,2022,2021-2022,0.8440007237526939,0.15599927624730614,9,5,2,16
16,2022,2023,2022-2023,0.8125364654841067,0.18746353451589326,10,3,5,18
16,2023,2024,2023-2024,0.7992022346087317,0.20079776539126826,11,3,3,17
20,2018,2019,2018-2019,0.05833716387383603,0.941662836126164,2,4,5,11
20,2019,2020,2019-2020,0.08249561560224627,0.9175043843977537,2,4,4,10
20,2020,2021,2020-2021,0.09423379636409723,0.9057662036359028,3,3,3,9
20,2021,2022,2021-2022,0.7124073570734675,0.2875926429265325,3,4,3,10
20,2022,2023,2022-2023,0.48101561805100523,0.5189843819489948,4,3,3,10
20,2023,2024,2023-2024,0.5699063142132725,0.43009368578672746,7,2,0,9
24,2018,2019,2018-2019,0.8470279386977194,0.15297206130228058,14,4,4,22
24,2019,2020,2019-2020,0.12411044787009051,0.8758895521299095,13,5,7,25
24,2020,2021,2020-2021,0.5356412874682417,0.4643587125317583,14,4,4,22
24,2021,2022,2021-2022,0.660929472364757,0.33907052763524304,17,4,2,23
24,2022,2023,2022-2023,0.6264964855033892,0.3735035144966108,15,5,4,24
24,2023,2024,2023-2024,0.5220486128555946,0.47795138714440544,14,3,6,23
28,2018,2019,2018-2019,0.010088708611595165,0.9899112913884048,1,1,0,2
28,2019,2020,2019-2020,0.0,1.0,0,1,2,3
28,2020,2021,2020-2021,1.1102230246251565e-16,0.9999999999999999,0,2,1,3
28,2021,2022,2021-2022,1.1102230246251565e-16,0.9999999999999999,0,1,2,3
28,2022,2024,2022-2024,0.0,1.0,0,1,1,2
31,2018,2019,2018-2019,0.6980769302346403,0.30192306976535965,17,4,2,23
31,2019,2020,2019-2020,0.5655150366142185,0.43448496338578146,19,2,1,22
31,2020,2021,2020-2021,0.288309142072534,0.711690857927466,21,2,0,23
31,2021,2022,2021-2022,0.6642068974969375,0.3357931025030625,20,2,3,25
31,2022,2023,2022-2023,0.5604735713772182,0.4395264286227818,21,8,2,31
31,2023,2024,2023-2024,0.6384566307380712,0.36154336926192876,30,2,1,33
32,2018,2019,2018-2019,0.8516141081204103,0.14838589187958973,27,2,2,31
32,2019,2020,2019-2020,0.7431945697013003,0.25680543029869973,27,1,2,30
32,2020,2021,2020-2021,0.6445936682190889,0.3554063317809111,28,1,1,30
32,2021,2022,2021-2022,0.7723462906720229,0.22765370932797713,29,0,0,29
32,2022,2023,2022-2023,0.7605912633658501,0.23940873663414985,28,1,1,30
32,2023,2024,2023-2024,0.7172722607565474,0.2827277392434526,27,2,1,30
36,2018,2019,2018-2019,0.9006934909869623,0.09930650901303772,40,0,0,40
36,2019,2020,2019-2020,0.8940025983684372,0.1059974016315628,39,0,0,39
36,2020,2021,2020-2021,0.8897580215579427,0.1102419784420573,41,0,0,41
36,2021,2022,2021-2022,0.89604981718839,0.10395018281160995,42,0,0,42
36,2022,2023,2022-2023,0.9407253898890545,0.05927461011094548,40,0,0,40
36,2023,2024,2023-2024,0.9325605768897397,0.0674394231102603,38,0,0,38
40,2018,2019,2018-2019,0.7408692905829054,0.2591307094170946,28,0,1,29
40,2019,2020,2019-2020,0.8092413991780542,0.19075860082194585,31,1,0,32
40,2020,2021,2020-2021,0.8598381491855601,0.14016185081443988,33,1,0,34
40,2021,2022,2021-2022,0.774468541734559,0.22553145826544096,38,0,0,38
40,2022,2023,2022-2023,0.8358236057511217,0.1641763942488783,40,0,0,40
40,2023,2024,2023-2024,0.7996064618024479,0.20039353819755212,44,0,0,44
44,2018,2019,2018-2019,0.0053706523260298455,0.9946293476739702,2,3,3,8
44,2019,2020,2019-2020,0.012795140572606223,0.9872048594273938,2,4,3,9
44,2020,2021,2020-2021,0.15153798826797948,0.8484620117320205,2,0,4,6
44,2021,2022,2021-2022,0.0985132958656505,0.9014867041343495,2,2,0,4
